Category	Metabolic module	KO	No	mussel and tubeworm biosphare	mussel and tubeworm biosphare	mussel and tubeworm biosphare	mussel and tubeworm biosphare	mussel and tubeworm biosphare	mussel and tubeworm biosphare	mussel and tubeworm biosphare	mussel and tubeworm biosphare	mussel and tubeworm biosphare	mussel and tubeworm biosphare	mussel and tubeworm biosphare	mussel and tubeworm biosphare	mussel and tubeworm biosphare	mussel and tubeworm biosphare	clam and sea anemone biosphare	clam and sea anemone biosphare	clam and sea anemone biosphare	clam and sea anemone biosphare	clam and sea anemone biosphare	clam and sea anemone biosphare	clam and sea anemone biosphare
Nucleotide metabolism	Purine metabolism	K18532	1	2.056337028	2.124291138	2.123500644	1.037803545	1.900891841	1.965931743	1.05389816	2.177220555	2.101134285	0.801795117	3.996892409	2.000877304	2.152674989	2.085827906	1.293699799	1.82101696	0.518585168	1.667475291	0.76521041	0.416073777	0.691550754
Nucleotide metabolism	Pyrimidine metabolism	K16066	2	0.428747116	0.426514803	0.530478643	0.945979055	1.520575093	0.513670636	0.84113761	0.1934024	0.684237239	1.081822938	2.09352339	0.580108612	0.364025925	0.412325378	1.455513498	1.344836163	1.077260204	0.504663433	1.295896732	1.291121338	1.149983555
Nucleotide metabolism	Purine metabolism	K01951	3	2.835325771	2.975968188	2.963299834	2.823037167	2.795792306	2.995177245	2.824558745	2.949168103	2.987473474	2.790340544	4.697978844	2.887428806	2.902998127	2.889233337	2.763736938	2.850180157	2.750790011	2.807971516	2.746572875	2.76037163	2.765239719
Nucleotide metabolism	Pyrimidine metabolism	K01485	4	2.369384372	2.314290095	2.27029558	1.787768029	2.037615735	2.284024278	1.919803556	2.444015366	2.416541264	1.786545724	4.189554504	2.224550806	2.383682283	2.19506337	2.145177754	2.254239206	2.001747418	1.842306332	1.773303178	1.644375817	1.379313843
Nucleotide metabolism	Purine metabolism	K00948	5	2.428017027	2.519180915	2.558688249	2.62204691	2.527502109	2.545459034	2.605348256	2.529876998	2.560841069	2.54812649	4.3413203	2.577746799	2.525108706	2.517996399	2.456308163	2.524648413	2.514258937	2.521811031	2.568851699	2.590800106	2.586078657
Nucleotide metabolism	Purine metabolism	K00892	6	0.028142305	0	0.022565874	0.477782937	2.054614402	0.96948835	1.316224407	0.365509857	0.591421806	0.429438647	0.602059991	0	0	0.01782704	0.02826006	0.164172262	0.268621045	0.190685011	0.977284083	0.749201702	0.838175929
Nucleotide metabolism	Purine metabolism	K00769	7	0.768663574	1.251395149	1.226296125	1.572700189	1.790574722	1.198239001	1.516612369	0.958802522	1.465085242	1.532839669	2.770322941	1.20278318	1.363284466	0.912634093	1.034855911	1.049677795	1.234604031	1.164024741	1.988435726	2.151426075	1.622955285
Metabolism of cofactors and vitamins	Folate biosynthesis	K15740	8	2.356673593	2.276499127	2.215868536	0.780794443	2.022143375	2.270415584	1.029437099	2.445657335	2.334434755	0.918549143	4.183106202	2.15823242	2.155668359	2.12920542	0.392686047	0.504788254	0.561117891	1.543273025	0.610873951	0.529880116	0.817768211
Metabolism of cofactors and vitamins	Folate biosynthesis	K10026	9	2.056557422	2.215127965	2.218405906	2.145471899	2.22799721	2.04431854	2.134382585	1.985710621	2.149793628	2.142476477	3.999607438	2.146152129	2.09876397	2.116355476	2.073684793	2.130107419	1.998423179	1.882116227	2.131465463	1.982620777	2.149218404
Metabolism of cofactors and vitamins	Folate biosynthesis	K09007	10	1.977187148	2.175803581	2.183004398	2.159703226	1.925105387	1.887647682	2.092176691	2.046772789	1.979830961	2.102835677	4.061457202	1.971457869	2.105330275	1.934688052	1.434568851	1.641278223	1.856549939	1.8079473	2.088676368	2.02215691	2.213946705
